Species	Sex	N	Age	Weight	Variance	Reference
Sprague-Dawley 1951	female	103	1	0.0055	4.56e-7	Poiley, 1972
Sprague-Dawley 1951	female	100	7	0.0126	1.44e-6	Poiley, 1972
Sprague-Dawley 1951	female	91	14	0.0225	1.46e-5	Poiley, 1972
Sprague-Dawley 1951	female	79	21	0.0351	2.03e-5	Poiley, 1972
Sprague-Dawley 1951	female	100	28	0.0481	4.56e-5	Poiley, 1972
Sprague-Dawley 1951	female	100	42	0.0925	6.01e-5	Poiley, 1972
Sprague-Dawley 1951	female	91	56	0.1152	1.72e-4	Poiley, 1972
Sprague-Dawley 1951	female	45	70	0.1622	1.76e-4	Poiley, 1972
Sprague-Dawley 1951	female	69	84	0.1764	3.06e-4	Poiley, 1972
Sprague-Dawley 1951	female	40	112	0.1985	3.91e-5	Poiley, 1972
Sprague-Dawley 1951	female	35	140	0.2161	3.02e-5	Poiley, 1972
Sprague-Dawley 1951	female	53	168	0.23	9.03e-5	Poiley, 1972
Sprague-Dawley 1951	male	100	1	0.006	8.56e-7	Poiley, 1972
Sprague-Dawley 1951	male	95	7	0.013	1.89e-6	Poiley, 1972
Sprague-Dawley 1951	male	83	14	0.0246	1.7e-5	Poiley, 1972
Sprague-Dawley 1951	male	95	21	0.0374	7.56e-6	Poiley, 1972
Sprague-Dawley 1951	male	100	28	0.0498	4.06e-5	Poiley, 1972
Sprague-Dawley 1951	male	100	42	0.0976	6.68e-5	Poiley, 1972
Sprague-Dawley 1951	male	87	56	0.1528	2.03e-4	Poiley, 1972
Sprague-Dawley 1951	male	66	70	0.2054	5.52e-4	Poiley, 1972
Sprague-Dawley 1951	male	58	84	0.2399	4.33e-4	Poiley, 1972
Sprague-Dawley 1951	male	40	112	0.2875	9.75e-5	Poiley, 1972
Sprague-Dawley 1951	male	33	140	0.3182	7.88e-5	Poiley, 1972
Sprague-Dawley 1951	male	41	168	0.3236	3.13e-4	Poiley, 1972
S5B/P1Cr	female	29	1	0.0059	7.66e-7	Poiley, 1972
S5B/P1Cr	female	21	7	0.0139	5.06e-6	Poiley, 1972
S5B/P1Cr	female	36	14	0.0247	1.5e-5	Poiley, 1972
S5B/P1Cr	female	46	21	0.0368	2.02e-5	Poiley, 1972
S5B/P1Cr	female	54	28	0.0552	2.63e-5	Poiley, 1972
S5B/P1Cr	female	49	42	0.0954	1.24e-4	Poiley, 1972
S5B/P1Cr	female	64	56	0.125	5.44e-5	Poiley, 1972
S5B/P1Cr	female	27	70	0.1449	4.9e-5	Poiley, 1972
S5B/P1Cr	female	27	84	0.1673	1.08e-4	Poiley, 1972
S5B/P1Cr	female	28	112	0.2057	2.29e-4	Poiley, 1972
S5B/P1Cr	female	32	140	0.2298	2.25e-4	Poiley, 1972
S5B/P1Cr	female	30	168	0.244	3.66e-4	Poiley, 1972
S5B/P1Cr	male	24	1	0.0061	5.63e-7	Poiley, 1972
S5B/P1Cr	male	16	7	0.0161	3.06e-6	Poiley, 1972
S5B/P1Cr	male	26	14	0.025	1.5e-5	Poiley, 1972
S5B/P1Cr	male	27	21	0.0387	2.5e-5	Poiley, 1972
S5B/P1Cr	male	47	28	0.0601	7.23e-5	Poiley, 1972
S5B/P1Cr	male	44	42	0.1224	2.85e-4	Poiley, 1972
S5B/P1Cr	male	58	56	0.1897	2.98e-4	Poiley, 1972
S5B/P1Cr	male	21	70	0.2413	2.56e-4	Poiley, 1972
S5B/P1Cr	male	23	84	0.2856	3.02e-4	Poiley, 1972
S5B/P1Cr	male	29	112	0.3194	4.05e-4	Poiley, 1972
S5B/P1Cr	male	27	140	0.3583	6.19e-4	Poiley, 1972
S5B/P1Cr	male	25	168	0.3662	5.94e-4	Poiley, 1972
Wcrypt/Ztm	female	12	100	0.115	1.44e-4	Alt et al., 1985
Wcrypt/Ztm	male	36	100	0.286	6.25e-4	Alt et al., 1985
Wistar/Furth Cr	female	29	1	0.0071	1.6e-7	Poiley, 1972
Wistar/Furth Cr	female	28	7	0.0164	3.8e-6	Poiley, 1972
Wistar/Furth Cr	female	20	14	0.0226	7.56e-6	Poiley, 1972
Wistar/Furth Cr	female	22	21	0.0391	3.06e-6	Poiley, 1972
Wistar/Furth Cr	female	25	28	0.0615	1.5e-5	Poiley, 1972
Wistar/Furth Cr	female	19	42	0.0759	5.33e-5	Poiley, 1972
Wistar/Furth Cr	female	24	56	0.1366	6.38e-6	Poiley, 1972
Wistar/Furth Cr	female	27	70	0.1431	1.23e-5	Poiley, 1972
Wistar/Furth Cr	female	23	84	0.1755	7.97e-5	Poiley, 1972
Wistar/Furth Cr	female	19	112	0.2019	0.246	Poiley, 1972
Wistar/Furth Cr	female	19	140	0.2249	1.03e-4	Poiley, 1972
Wistar/Furth Cr	female	24	168	0.2627	3.73e-4	Poiley, 1972
Wistar/Furth Cr	male	21	1	0.0072	1.81e-7	Poiley, 1972
Wistar/Furth Cr	male	27	7	0.0174	2.48e-6	Poiley, 1972
Wistar/Furth Cr	male	25	14	0.0242	5.18e-6	Poiley, 1972
Wistar/Furth Cr	male	21	21	0.04	1.21e-6	Poiley, 1972
Wistar/Furth Cr	male	28	28	0.0651	9.77e-6	Poiley, 1972
Wistar/Furth Cr	male	20	42	0.0912	5.13e-4	Poiley, 1972
Wistar/Furth Cr	male	22	56	0.1566	6.16e-5	Poiley, 1972
Wistar/Furth Cr	male	26	70	0.1851	1.21e-5	Poiley, 1972
Wistar/Furth Cr	male	10	84	0.2403	3.43e-4	Poiley, 1972
Wistar/Furth Cr	male	22	112	0.2777	7.55e-4	Poiley, 1972
Wistar/Furth Cr	male	17	140	0.3194	8.31e-4	Poiley, 1972
Wistar/Furth Cr	male	21	168	0.3596	5.39e-4	Poiley, 1972
Wistar/Lewis Cr	female	27	1	0.0051	7.66e-7	Poiley, 1972
Wistar/Lewis Cr	female	33	7	0.0181	1.89e-6	Poiley, 1972
Wistar/Lewis Cr	female	24	14	0.0256	4e-6	Poiley, 1972
Wistar/Lewis Cr	female	36	21	0.0524	2.5e-5	Poiley, 1972
Wistar/Lewis Cr	female	57	28	0.0849	2.29e-4	Poiley, 1972
Wistar/Lewis Cr	female	38	42	0.1418	6.44e-4	Poiley, 1972
Wistar/Lewis Cr	female	35	56	0.2425	1.16e-4	Poiley, 1972
Wistar/Lewis Cr	female	42	70	0.2612	3.15e-4	Poiley, 1972
Wistar/Lewis Cr	female	39	84	0.3024	3.06e-4	Poiley, 1972
Wistar/Lewis Cr	female	41	112	0.327	2.85e-4	Poiley, 1972
Wistar/Lewis Cr	female	45	140	0.3357	2.64e-4	Poiley, 1972
Wistar/Lewis Cr	female	42	168	0.3499	1.93e-4	Poiley, 1972
Wistar/Lewis Cr	male	27	1	0.0052	7.66e-7	Poiley, 1972
Wistar/Lewis Cr	male	32	7	0.0197	7.56e-6	Poiley, 1972
Wistar/Lewis Cr	male	29	14	0.0272	4.52e-6	Poiley, 1972
Wistar/Lewis Cr	male	32	21	0.0533	3.45e-5	Poiley, 1972
Wistar/Lewis Cr	male	59	28	0.0961	1.03e-4	Poiley, 1972
Wistar/Lewis Cr	male	38	42	0.1814	7.84e-4	Poiley, 1972
Wistar/Lewis Cr	male	44	56	0.2697	5.18e-4	Poiley, 1972
Wistar/Lewis Cr	male	33	70	0.3165	5.64e-4	Poiley, 1972
Wistar/Lewis Cr	male	30	84	0.3817	4e-4	Poiley, 1972
Wistar/Lewis Cr	male	28	112	0.4182	4.46e-4	Poiley, 1972
Wistar/Lewis Cr	male	29	140	0.4591	7.84e-4	Poiley, 1972
Wistar/Lewis Cr	male	34	168	0.5264	4.52e-4	Poiley, 1972
Wistar	female	33	50	0.168	2.5e-5	NAS, 1971
Wistar	female	42	100	0.229	2.5e-5	NAS, 1971
Wistar	female	52	300	0.299	1.6e-5	NAS, 1971
Wistar	female	100	28	0.0975	1.41e-5	Wiberg et al., 1966
Wistar	female	100	56	0.1475	1.41e-5	Wiberg et al., 1966
Wistar	female	100	84	0.17	2.5e-5	Wiberg et al., 1966
Wistar	female	100	112	0.18	5.62e-5	Wiberg et al., 1966
Wistar	female	100	112	0.18	5.62e-5	Wiberg et al., 1966
Wistar	male	25	60	0.15	NA	Deyl et al, 1975
Wistar	male	25	90	0.295	NA	Deyl et al, 1975
Wistar	male	25	120	0.35	NA	Deyl et al, 1975
Wistar	male	25	150	0.395	NA	Deyl et al, 1975
Wistar	male	25	210	0.415	NA	Deyl et al, 1975
Wistar	male	25	270	0.45	NA	Deyl et al, 1975
Wistar	male	25	330	0.48	NA	Deyl et al, 1975
Wistar	male	25	390	0.49	NA	Deyl et al, 1975
Wistar	male	25	450	0.5	NA	Deyl et al, 1975
Wistar	male	25	510	0.52	NA	Deyl et al, 1975
Wistar	male	25	570	0.55	NA	Deyl et al, 1975
Wistar	male	25	630	0.565	NA	Deyl et al, 1975
Wistar	male	25	690	0.595	NA	Deyl et al, 1975
Wistar	male	25	720	0.6	NA	Deyl et al, 1975
Wistar	male	25	750	0.48	NA	Deyl et al, 1975
Wistar	male	25	780	0.53	NA	Deyl et al, 1975
Wistar	male	25	840	0.47	NA	Deyl et al, 1975
Wistar	male	25	900	0.57	NA	Deyl et al, 1975
Wistar	male	25	930	0.55	NA	Deyl et al, 1975
Wistar	male	10	35	0.0523	1.69e-6	Leong et al., 1964
Wistar	male	10	49	0.1098	2.6e-5	Leong et al., 1964
Wistar	male	10	70	0.2113	4.49e-5	Leong et al., 1964
Wistar	male	10	126	0.2985	5.78e-5	Leong et al., 1964
Wistar	male	34	50	0.218	2.5e-5	NAS, 1971
Wistar	male	38	100	0.367	2.5e-5	NAS, 1971
Wistar	male	NA	300	0.485	1.6e-5	NAS, 1971
Wistar	male	100	84	0.27	6.25e-6	Wiberg et al., 1966
Wistar	male	100	112	0.295	5.62e-5	Wiberg et al., 1966
Wistar	male	100	28	0.125	6.25e-6	Wiberg et al., 1966
Wistar	male	100	56	0.225	5.62e-5	Wiberg et al., 1966
Yoshida/Cr	female	35	1	0.006	4.23e-7	Poiley, 1972
Yoshida/Cr	female	35	7	0.0113	1.56e-6	Poiley, 1972
Yoshida/Cr	female	31	14	0.034	1.37e-5	Poiley, 1972
Yoshida/Cr	female	24	21	0.0515	3.19e-5	Poiley, 1972
Yoshida/Cr	female	21	28	0.064	2.65e-5	Poiley, 1972
Yoshida/Cr	female	28	42	0.1348	5.55e-5	Poiley, 1972
Yoshida/Cr	female	26	56	0.1898	1.48e-4	Poiley, 1972
Yoshida/Cr	female	24	70	0.2585	1.51e-4	Poiley, 1972
Yoshida/Cr	female	25	84	0.272	2.57e-4	Poiley, 1972
Yoshida/Cr	female	21	112	0.3032	4.17e-4	Poiley, 1972
Yoshida/Cr	female	23	140	0.3106	4.14e-4	Poiley, 1972
Yoshida/Cr	male	20	1	0.0061	3.91e-7	Poiley, 1972
Yoshida/Cr	male	21	7	0.0124	1.5e-6	Poiley, 1972
Yoshida/Cr	male	22	14	0.0374	1.21e-5	Poiley, 1972
Yoshida/Cr	male	24	21	0.0587	2.02e-5	Poiley, 1972
Yoshida/Cr	male	21	28	0.0799	6.16e-5	Poiley, 1972
Yoshida/Cr	male	22	42	0.1592	9.95e-5	Poiley, 1972
Yoshida/Cr	male	23	56	0.2557	3.42e-4	Poiley, 1972
Yoshida/Cr	male	24	70	0.3207	4.09e-4	Poiley, 1972
Yoshida/Cr	male	25	84	0.3413	5.51e-4	Poiley, 1972
Yoshida/Cr	male	26	112	0.4019	4.82e-4	Poiley, 1972
Yoshida/Cr	male	22	140	0.4726	0.00123	Poiley, 1972
